centre_id,region,milieu,type,remoteness,enrol
P00093,Thiès,rural,CTP,0.15,39
P00094,Kédougou,rural,public,0.9,76
P00095,Matam,rural,CTP,0.65,31
P00096,Kaolack,rural,public,0.3,105
P00097,Ziguinchor,urbain,public,0.55,62
P00098,Dakar,urbain,prive,0.05,49
P00099,Kédougou,rural,prive,0.9,67
P00100,Fatick,urbain,public,0.4,68
P00101,Dakar,urbain,public,0.05,71
P00102,Dakar,urbain,public,0.05,62
P00103,Dakar,rural,CTP,0.05,79
P00104,Diourbel,rural,CTP,0.3,28
P00105,Thiès,urbain,public,0.15,80
P00106,Kaffrine,urbain,public,0.55,35
P00107,Dakar,urbain,CTP,0.05,41
P00108,Dakar,rural,CTP,0.05,55
P00109,Thiès,urbain,prive,0.15,42
P00110,Diourbel,urbain,prive,0.3,35
P00111,Tambacounda,rural,prive,0.75,59
P00112,Thiès,urbain,public,0.15,95
P00113,Tambacounda,rural,CTP,0.75,61
P00114,Kaffrine,rural,public,0.55,30
P00115,Fatick,urbain,prive,0.4,187
P00116,Kaffrine,urbain,prive,0.55,69
P00117,Kolda,rural,CTP,0.7,42
P00118,Dakar,urbain,public,0.05,118
P00119,Thiès,urbain,prive,0.15,37
P00120,Dakar,urbain,CTP,0.05,31
P00121,Fatick,rural,public,0.4,117
P00122,Diourbel,urbain,CTP,0.3,69
P00123,Thiès,urbain,public,0.15,47
P00124,Matam,rural,CTP,0.65,26
P00125,Ziguinchor,rural,CTP,0.55,41
P00126,Kaffrine,rural,CTP,0.55,48
P00127,Thiès,rural,public,0.15,48
P00128,Kolda,urbain,CTP,0.7,64
P00129,Kaolack,urbain,CTP,0.3,34
P00130,Dakar,urbain,prive,0.05,37
P00131,Tambacounda,rural,CTP,0.75,30
P00132,Dakar,rural,CTP,0.05,42
P00133,Kédougou,rural,public,0.9,48
P00134,Saint-Louis,urbain,prive,0.35,77
P00135,Diourbel,urbain,public,0.3,63
P00136,Thiès,urbain,prive,0.15,67
P00137,Thiès,urbain,CTP,0.15,57
P00138,Kaolack,urbain,public,0.3,89
P00139,Thiès,urbain,public,0.15,115
P00140,Kolda,rural,CTP,0.7,57
P00141,Thiès,rural,CTP,0.15,80
P00142,Kaolack,rural,public,0.3,66
P00143,Kolda,rural,CTP,0.7,59
P00144,Sédhiou,rural,public,0.7,33
P00145,Dakar,rural,public,0.05,112
P00146,Kaffrine,rural,CTP,0.55,83
P00147,Dakar,urbain,CTP,0.05,24
P00148,Fatick,rural,CTP,0.4,60
P00149,Louga,rural,CTP,0.45,62
P00150,Thiès,urbain,public,0.15,65
P00151,Ziguinchor,rural,CTP,0.55,18
P00152,Ziguinchor,rural,public,0.55,45
P00153,Saint-Louis,rural,public,0.35,46
P00154,Dakar,rural,prive,0.05,60
P00155,Matam,rural,CTP,0.65,46
P00156,Tambacounda,urbain,CTP,0.75,39
P00157,Dakar,urbain,public,0.05,79
P00158,Kaolack,rural,CTP,0.3,40
P00159,Dakar,urbain,CTP,0.05,29
P00160,Sédhiou,rural,CTP,0.7,26
P00161,Diourbel,urbain,CTP,0.3,34
P00162,Dakar,rural,CTP,0.05,85
P00163,Kaolack,urbain,public,0.3,81
P00164,Kolda,rural,CTP,0.7,27
P00165,Fatick,rural,prive,0.4,49
P00166,Kaolack,urbain,public,0.3,129
P00167,Kolda,rural,CTP,0.7,40
P00168,Fatick,rural,CTP,0.4,25
P00169,Saint-Louis,rural,public,0.35,69
P00170,Kaolack,urbain,public,0.3,73
P00171,Dakar,urbain,CTP,0.05,61
P00172,Kolda,rural,public,0.7,91
P00173,Thiès,urbain,CTP,0.15,34
P00174,Kolda,rural,public,0.7,67
P00175,Dakar,urbain,CTP,0.05,34
P00176,Diourbel,urbain,public,0.3,56
P00177,Thiès,urbain,public,0.15,82
P00178,Dakar,urbain,prive,0.05,64
P00179,Thiès,urbain,CTP,0.15,45
P00180,Kaffrine,rural,public,0.55,60
P00181,Ziguinchor,rural,public,0.55,66
P00182,Dakar,urbain,public,0.05,43
P00183,Tambacounda,rural,prive,0.75,69
P00184,Louga,rural,CTP,0.45,34
P00185,Dakar,rural,CTP,0.05,33
P00186,Tambacounda,urbain,CTP,0.75,41
P00187,Matam,urbain,public,0.65,39
P00188,Louga,rural,public,0.45,47
P00189,Dakar,urbain,public,0.05,41
P00190,Kaffrine,rural,public,0.55,105
P00191,Dakar,urbain,public,0.05,55
P00192,Louga,rural,CTP,0.45,81
P00193,Matam,rural,CTP,0.65,73
P00194,Dakar,urbain,prive,0.05,53
P00195,Ziguinchor,rural,public,0.55,63
P00196,Sédhiou,rural,public,0.7,41
P00197,Thiès,urbain,prive,0.15,71
P00198,Sédhiou,urbain,public,0.7,109
P00199,Fatick,urbain,CTP,0.4,82
P00200,Saint-Louis,urbain,CTP,0.35,37
P00201,Dakar,urbain,CTP,0.05,55
P00202,Ziguinchor,rural,CTP,0.55,46
P00203,Matam,rural,CTP,0.65,49
P00204,Kédougou,rural,CTP,0.9,38
P00205,Fatick,rural,CTP,0.4,42
P00206,Louga,rural,CTP,0.45,58
P00207,Fatick,urbain,public,0.4,65
P00208,Louga,rural,CTP,0.45,27
P00209,Saint-Louis,rural,CTP,0.35,64
P00210,Kaolack,urbain,prive,0.3,153
P00211,Fatick,urbain,public,0.4,90
P00212,Thiès,urbain,public,0.15,75
P00213,Thiès,urbain,public,0.15,37
P00214,Dakar,urbain,prive,0.05,41
P00215,Thiès,urbain,CTP,0.15,51
P00216,Matam,rural,CTP,0.65,42
P00217,Thiès,urbain,public,0.15,47
P00218,Thiès,urbain,public,0.15,103
P00219,Saint-Louis,urbain,prive,0.35,91
P00220,Diourbel,rural,public,0.3,65
P00221,Fatick,urbain,public,0.4,89
P00222,Fatick,rural,CTP,0.4,48
P00223,Saint-Louis,urbain,prive,0.35,31
P00224,Diourbel,rural,CTP,0.3,43
P00225,Thiès,rural,public,0.15,48
P00226,Dakar,rural,CTP,0.05,33
P00227,Kolda,rural,public,0.7,124
P00228,Tambacounda,urbain,public,0.75,109
P00229,Thiès,urbain,public,0.15,44
P00230,Diourbel,rural,CTP,0.3,32
P00231,Thiès,urbain,CTP,0.15,22
P00232,Diourbel,urbain,public,0.3,104
P00233,Kédougou,urbain,public,0.9,138
P00234,Dakar,urbain,prive,0.05,55
P00235,Dakar,urbain,public,0.05,41
P00236,Kolda,rural,public,0.7,80
P00237,Dakar,urbain,public,0.05,27
P00238,Thiès,urbain,public,0.15,133
P00239,Dakar,urbain,public,0.05,46
P00240,Saint-Louis,rural,CTP,0.35,24
P00241,Dakar,urbain,CTP,0.05,30
P00242,Ziguinchor,rural,CTP,0.55,52
P00243,Saint-Louis,rural,public,0.35,101
P00244,Kaffrine,urbain,public,0.55,71
P00245,Thiès,rural,prive,0.15,54
P00246,Louga,rural,public,0.45,42
P00247,Ziguinchor,rural,public,0.55,60
P00248,Thiès,rural,CTP,0.15,39
P00249,Diourbel,urbain,public,0.3,86
P00250,Saint-Louis,rural,public,0.35,99
P00251,Kaolack,urbain,public,0.3,70
P00252,Diourbel,rural,CTP,0.3,65
P00253,Thiès,rural,prive,0.15,83
P00254,Diourbel,rural,public,0.3,144
P00255,Dakar,rural,public,0.05,58
P00256,Dakar,rural,CTP,0.05,51
P00257,Dakar,urbain,public,0.05,42
P00258,Thiès,urbain,prive,0.15,79
P00259,Louga,urbain,prive,0.45,47
P00260,Matam,urbain,public,0.65,100
P00261,Kolda,rural,CTP,0.7,35
P00262,Thiès,urbain,CTP,0.15,23
P00263,Sédhiou,rural,CTP,0.7,25
P00264,Dakar,urbain,CTP,0.05,25
P00265,Kolda,rural,public,0.7,93
P00266,Kolda,rural,public,0.7,70
P00267,Matam,rural,CTP,0.65,112
P00268,Dakar,rural,CTP,0.05,56
P00269,Thiès,urbain,public,0.15,97
P00270,Kaolack,rural,public,0.3,34
P00271,Kaolack,rural,CTP,0.3,47
P00272,Kaolack,rural,CTP,0.3,47
P00273,Dakar,urbain,public,0.05,45
P00274,Thiès,urbain,public,0.15,59
P00275,Kédougou,urbain,public,0.9,36
P00276,Dakar,urbain,public,0.05,126
P00277,Thiès,urbain,CTP,0.15,51
P00278,Thiès,rural,CTP,0.15,45
P00279,Kaffrine,urbain,CTP,0.55,36
P00280,Diourbel,rural,CTP,0.3,32
P00281,Fatick,rural,public,0.4,84
P00282,Thiès,urbain,prive,0.15,61
P00283,Fatick,rural,public,0.4,53
P00284,Thiès,rural,public,0.15,105
P00285,Fatick,urbain,public,0.4,83
P00286,Thiès,urbain,prive,0.15,54
P00287,Kaolack,urbain,public,0.3,37
P00288,Kolda,urbain,public,0.7,58
P00289,Diourbel,urbain,public,0.3,66
P00290,Diourbel,urbain,prive,0.3,41
P00291,Saint-Louis,urbain,public,0.35,53
P00292,Diourbel,urbain,CTP,0.3,34
P00293,Dakar,urbain,prive,0.05,47
P00294,Thiès,urbain,CTP,0.15,31
P00295,Kaolack,urbain,public,0.3,51
P00296,Fatick,urbain,CTP,0.4,56
P00297,Thiès,urbain,CTP,0.15,29
P00298,Dakar,rural,public,0.05,63
P00299,Louga,rural,CTP,0.45,30
P00300,Diourbel,rural,CTP,0.3,58
P00301,Kolda,urbain,CTP,0.7,25
P00302,Kaolack,urbain,public,0.3,59
P00303,Sédhiou,rural,CTP,0.7,19
P00304,Kolda,rural,public,0.7,58
P00305,Tambacounda,rural,CTP,0.75,39
P00306,Ziguinchor,rural,CTP,0.55,45
P00307,Louga,urbain,prive,0.45,68
P00308,Diourbel,urbain,prive,0.3,66
P00309,Ziguinchor,urbain,public,0.55,61
P00310,Kaolack,rural,public,0.3,36
P00311,Kaffrine,urbain,prive,0.55,34
P00312,Tambacounda,urbain,prive,0.75,38
P00313,Dakar,urbain,prive,0.05,80
P00314,Matam,rural,public,0.65,51
P00315,Thiès,urbain,prive,0.15,49
P00316,Dakar,urbain,public,0.05,32
P00317,Saint-Louis,rural,CTP,0.35,76
P00318,Dakar,urbain,prive,0.05,50
P00319,Kolda,rural,public,0.7,94
P00320,Sédhiou,urbain,public,0.7,62
P00321,Thiès,urbain,public,0.15,71
P00322,Matam,rural,public,0.65,87
P00323,Tambacounda,rural,public,0.75,82
P00324,Thiès,urbain,prive,0.15,82
P00325,Dakar,urbain,public,0.05,59
P00326,Diourbel,rural,public,0.3,80
P00327,Diourbel,rural,public,0.3,23
P00328,Louga,rural,CTP,0.45,43
P00329,Kaffrine,rural,CTP,0.55,81
P00330,Kolda,urbain,public,0.7,63
P00331,Dakar,urbain,CTP,0.05,51
P00332,Dakar,urbain,public,0.05,55
P00333,Sédhiou,urbain,CTP,0.7,61
P00334,Kédougou,urbain,CTP,0.9,69
P00335,Diourbel,urbain,public,0.3,50
P00336,Dakar,urbain,CTP,0.05,33
P00337,Diourbel,rural,public,0.3,29
P00338,Dakar,urbain,public,0.05,104
P00339,Thiès,urbain,prive,0.15,69
P00340,Kolda,rural,CTP,0.7,70
P00341,Saint-Louis,rural,public,0.35,95
P00342,Ziguinchor,urbain,public,0.55,57
P00343,Kolda,rural,CTP,0.7,51
P00344,Fatick,rural,CTP,0.4,62
P00345,Thiès,urbain,public,0.15,72
P00346,Dakar,urbain,CTP,0.05,66
P00347,Kaffrine,rural,public,0.55,69
P00348,Dakar,urbain,public,0.05,36
P00349,Kaolack,urbain,CTP,0.3,50
P00350,Louga,rural,CTP,0.45,34
P00351,Dakar,urbain,public,0.05,78
P00352,Kaffrine,urbain,public,0.55,47
P00353,Ziguinchor,urbain,CTP,0.55,30
P00354,Kédougou,urbain,public,0.9,89
P00355,Tambacounda,rural,CTP,0.75,75
P00356,Thiès,urbain,public,0.15,80
P00357,Diourbel,urbain,CTP,0.3,54
P00358,Fatick,urbain,prive,0.4,59
P00359,Thiès,urbain,public,0.15,56
P00360,Fatick,urbain,public,0.4,64
P00361,Thiès,urbain,public,0.15,156
P00362,Dakar,urbain,public,0.05,43
P00363,Ziguinchor,urbain,prive,0.55,73
P00364,Sédhiou,rural,CTP,0.7,29
P00365,Diourbel,rural,public,0.3,41
P00366,Kaolack,urbain,public,0.3,55
P00367,Tambacounda,rural,public,0.75,39
P00368,Diourbel,urbain,public,0.3,71
P00369,Kaolack,rural,public,0.3,57
P00370,Dakar,rural,prive,0.05,51
P00371,Louga,rural,CTP,0.45,40
P00372,Thiès,rural,CTP,0.15,43
P00373,Kaffrine,urbain,prive,0.55,79
P00374,Sédhiou,urbain,public,0.7,81
P00375,Kaolack,urbain,prive,0.3,33
P00376,Thiès,rural,public,0.15,50
P00377,Diourbel,rural,CTP,0.3,46
P00378,Thiès,urbain,prive,0.15,17
P00379,Ziguinchor,rural,CTP,0.55,40
P00380,Sédhiou,rural,public,0.7,81
P00381,Thiès,urbain,public,0.15,156
P00382,Dakar,rural,public,0.05,48
P00383,Fatick,rural,CTP,0.4,29
P00384,Louga,rural,CTP,0.45,78
P00385,Dakar,rural,public,0.05,84
P00386,Tambacounda,urbain,public,0.75,90
P00387,Saint-Louis,urbain,public,0.35,128
P00388,Diourbel,urbain,public,0.3,86
P00389,Diourbel,rural,public,0.3,43
P00390,Fatick,urbain,CTP,0.4,52
P00391,Diourbel,rural,CTP,0.3,26
P00392,Diourbel,urbain,public,0.3,55
P00393,Dakar,urbain,public,0.05,38
P00394,Kaffrine,rural,CTP,0.55,49
P00395,Diourbel,rural,CTP,0.3,35
P00396,Louga,rural,CTP,0.45,61
P00397,Sédhiou,rural,public,0.7,32
P00398,Sédhiou,urbain,CTP,0.7,96
P00399,Dakar,urbain,CTP,0.05,44
P00400,Sédhiou,rural,CTP,0.7,44
P00401,Matam,rural,CTP,0.65,102
P00402,Thiès,urbain,CTP,0.15,44
P00403,Kédougou,urbain,public,0.9,87
P00404,Louga,urbain,CTP,0.45,46
P00405,Fatick,urbain,prive,0.4,49
P00406,Diourbel,rural,public,0.3,73
P00407,Dakar,rural,CTP,0.05,35
P00408,Fatick,urbain,CTP,0.4,36
P00409,Fatick,rural,public,0.4,52
P00410,Kaolack,rural,CTP,0.3,44
P00411,Fatick,rural,public,0.4,136
P00412,Dakar,rural,CTP,0.05,80
P00413,Dakar,urbain,public,0.05,47
P00414,Dakar,rural,CTP,0.05,40
P00415,Thiès,rural,CTP,0.15,60
P00416,Kaolack,rural,CTP,0.3,36
P00417,Kolda,urbain,public,0.7,42
P00418,Sédhiou,rural,CTP,0.7,40
P00419,Louga,rural,CTP,0.45,49
P00420,Louga,rural,public,0.45,95
P00421,Kaffrine,rural,public,0.55,90
P00422,Matam,urbain,CTP,0.65,28
P00423,Thiès,rural,public,0.15,55
P00424,Diourbel,urbain,public,0.3,53
P00425,Fatick,rural,CTP,0.4,46
P00426,Diourbel,urbain,CTP,0.3,40
P00427,Louga,urbain,public,0.45,31
P00428,Sédhiou,urbain,prive,0.7,50
P00429,Louga,rural,CTP,0.45,15
P00430,Diourbel,rural,public,0.3,73
P00431,Dakar,urbain,CTP,0.05,76
P00432,Dakar,rural,CTP,0.05,29
P00433,Ziguinchor,urbain,CTP,0.55,24
P00434,Dakar,urbain,prive,0.05,35
P00435,Louga,rural,CTP,0.45,24
P00436,Diourbel,rural,CTP,0.3,69
P00437,Dakar,rural,CTP,0.05,34
P00438,Kaolack,rural,public,0.3,69
P00439,Diourbel,urbain,public,0.3,67
P00440,Fatick,urbain,public,0.4,58
P00441,Kaffrine,urbain,CTP,0.55,54
P00442,Louga,rural,public,0.45,53
P00443,Louga,urbain,prive,0.45,37
P00444,Ziguinchor,rural,CTP,0.55,95
P00445,Saint-Louis,urbain,public,0.35,97
P00446,Dakar,urbain,public,0.05,91
P00447,Saint-Louis,rural,public,0.35,109
P00448,Thiès,urbain,prive,0.15,69
P00449,Kaolack,urbain,public,0.3,61
P00450,Kaolack,urbain,public,0.3,47
P00451,Diourbel,urbain,CTP,0.3,48
P00452,Thiès,urbain,public,0.15,59
P00453,Thiès,urbain,public,0.15,68
P00454,Kaolack,urbain,CTP,0.3,43
P00455,Fatick,urbain,CTP,0.4,56
P00456,Fatick,rural,CTP,0.4,75
P00457,Dakar,urbain,prive,0.05,68
P00458,Kaolack,rural,CTP,0.3,62
P00459,Fatick,urbain,public,0.4,37
P00460,Tambacounda,rural,public,0.75,57
P00461,Kaolack,rural,CTP,0.3,36
P00462,Thiès,urbain,public,0.15,71
P00463,Dakar,urbain,public,0.05,54
P00464,Matam,rural,public,0.65,36
P00465,Fatick,urbain,public,0.4,80
P00466,Dakar,urbain,public,0.05,71
P00467,Dakar,urbain,prive,0.05,97
P00468,Dakar,rural,CTP,0.05,41
P00469,Louga,urbain,public,0.45,87
P00470,Thiès,rural,CTP,0.15,90
P00471,Thiès,urbain,prive,0.15,23
P00472,Sédhiou,urbain,public,0.7,34
P00473,Tambacounda,rural,CTP,0.75,42
P00474,Diourbel,urbain,public,0.3,43
P00475,Ziguinchor,rural,CTP,0.55,52
P00476,Fatick,rural,CTP,0.4,65
P00477,Thiès,rural,CTP,0.15,51
P00478,Kolda,rural,public,0.7,48
P00479,Dakar,urbain,public,0.05,140
P00480,Dakar,rural,CTP,0.05,40
P00481,Kaffrine,urbain,prive,0.55,50
P00482,Tambacounda,rural,CTP,0.75,48
P00483,Saint-Louis,rural,public,0.35,58
P00484,Dakar,urbain,CTP,0.05,54
P00485,Kolda,urbain,public,0.7,70
P00486,Fatick,urbain,prive,0.4,29
P00487,Dakar,urbain,public,0.05,60
P00488,Louga,rural,public,0.45,88
P00489,Diourbel,rural,prive,0.3,76
P00490,Dakar,urbain,prive,0.05,36
P00491,Ziguinchor,urbain,CTP,0.55,65
P00492,Fatick,rural,CTP,0.4,86
P00493,Saint-Louis,rural,public,0.35,83
P00494,Diourbel,urbain,prive,0.3,40
P00495,Saint-Louis,urbain,public,0.35,49
P00496,Ziguinchor,rural,CTP,0.55,36
P00497,Kaffrine,urbain,public,0.55,68
P00498,Kédougou,rural,CTP,0.9,39
P00499,Tambacounda,urbain,prive,0.75,53
P00500,Tambacounda,rural,public,0.75,55
P00501,Tambacounda,rural,prive,0.75,60
P00502,Fatick,urbain,public,0.4,43
P00503,Sédhiou,rural,CTP,0.7,96
P00504,Louga,rural,prive,0.45,71
P00505,Ziguinchor,rural,CTP,0.55,59
P00506,Fatick,urbain,public,0.4,46
P00507,Dakar,urbain,CTP,0.05,39
P00508,Thiès,urbain,CTP,0.15,35
P00509,Thiès,urbain,prive,0.15,36
P00510,Diourbel,urbain,public,0.3,64
P00511,Tambacounda,rural,CTP,0.75,49
P00512,Kolda,urbain,CTP,0.7,27
P00513,Dakar,urbain,CTP,0.05,39
P00514,Kaffrine,rural,CTP,0.55,21
P00515,Diourbel,urbain,public,0.3,84
P00516,Thiès,rural,CTP,0.15,49
P00517,Matam,urbain,public,0.65,139
P00518,Ziguinchor,urbain,public,0.55,57
P00519,Dakar,rural,prive,0.05,128
P00520,Louga,urbain,public,0.45,55
P00521,Dakar,urbain,public,0.05,79
P00522,Thiès,urbain,prive,0.15,41
P00523,Tambacounda,rural,public,0.75,42
P00524,Kaolack,urbain,public,0.3,85
P00525,Kédougou,urbain,prive,0.9,51
P00526,Dakar,rural,public,0.05,140
P00527,Thiès,rural,public,0.15,37
P00528,Kaolack,urbain,CTP,0.3,37
P00529,Kaffrine,urbain,public,0.55,17
P00530,Saint-Louis,urbain,CTP,0.35,102
P00531,Diourbel,urbain,public,0.3,26
P00532,Dakar,rural,prive,0.05,47
P00533,Ziguinchor,rural,public,0.55,149
P00534,Kaolack,rural,prive,0.3,61
P00535,Thiès,urbain,public,0.15,52
P00536,Kaffrine,urbain,prive,0.55,76
P00537,Dakar,urbain,prive,0.05,69
P00538,Dakar,urbain,CTP,0.05,59
P00539,Diourbel,rural,public,0.3,108
P00540,Ziguinchor,urbain,public,0.55,90
P00541,Matam,urbain,CTP,0.65,27
P00542,Diourbel,rural,CTP,0.3,27
P00543,Kaolack,rural,public,0.3,60
P00544,Kaffrine,rural,public,0.55,109
P00545,Kaolack,urbain,CTP,0.3,40
P00546,Dakar,rural,CTP,0.05,47
P00547,Sédhiou,rural,CTP,0.7,32
P00548,Fatick,rural,CTP,0.4,46
P00549,Dakar,rural,CTP,0.05,46
P00550,Diourbel,rural,public,0.3,107
P00551,Diourbel,rural,public,0.3,138
P00552,Louga,rural,CTP,0.45,38
P00553,Diourbel,rural,public,0.3,58
P00554,Kaolack,urbain,CTP,0.3,14
P00555,Diourbel,urbain,CTP,0.3,75
P00556,Saint-Louis,urbain,prive,0.35,71
P00557,Louga,urbain,prive,0.45,31
P00558,Dakar,urbain,prive,0.05,88
P00559,Kaffrine,rural,prive,0.55,77
P00560,Thiès,urbain,CTP,0.15,50
P00561,Dakar,rural,CTP,0.05,45
P00562,Matam,rural,public,0.65,128
P00563,Dakar,urbain,public,0.05,62
P00564,Louga,rural,public,0.45,85
P00565,Louga,urbain,CTP,0.45,37
P00566,Diourbel,rural,CTP,0.3,31
P00567,Kolda,rural,CTP,0.7,29
P00568,Dakar,urbain,prive,0.05,50
P00569,Thiès,rural,CTP,0.15,42
P00570,Kédougou,rural,public,0.9,83
P00571,Saint-Louis,urbain,public,0.35,40
P00572,Tambacounda,rural,public,0.75,36
P00573,Dakar,urbain,CTP,0.05,70
P00574,Ziguinchor,rural,CTP,0.55,65
P00575,Thiès,urbain,CTP,0.15,42
P00576,Sédhiou,urbain,CTP,0.7,48
P00577,Kaolack,urbain,public,0.3,57
P00578,Sédhiou,rural,public,0.7,67
P00579,Thiès,urbain,public,0.15,76
P00580,Dakar,urbain,prive,0.05,74
P00581,Matam,rural,public,0.65,58
P00582,Thiès,rural,CTP,0.15,37
P00583,Dakar,rural,prive,0.05,54
P00584,Kaffrine,rural,public,0.55,64
P00585,Kaolack,rural,public,0.3,50
P00586,Saint-Louis,rural,public,0.35,96
P00587,Kolda,rural,public,0.7,106
P00588,Louga,rural,public,0.45,76
P00589,Ziguinchor,urbain,public,0.55,81
P00590,Kolda,urbain,CTP,0.7,31
P00591,Dakar,urbain,prive,0.05,48
P00592,Diourbel,urbain,CTP,0.3,44
P00593,Kaolack,urbain,CTP,0.3,22
P00594,Dakar,rural,public,0.05,107
P00595,Thiès,urbain,prive,0.15,40
P00596,Fatick,urbain,public,0.4,107
P00597,Saint-Louis,rural,public,0.35,58
P00598,Diourbel,rural,CTP,0.3,29
P00599,Dakar,urbain,public,0.05,228
P00600,Kaffrine,rural,CTP,0.55,29
P00601,Dakar,rural,public,0.05,70
P00602,Dakar,urbain,CTP,0.05,35
P00603,Dakar,urbain,CTP,0.05,14
P00604,Ziguinchor,rural,public,0.55,61
P00605,Tambacounda,rural,public,0.75,97
P00606,Kaffrine,rural,public,0.55,127
P00607,Thiès,rural,CTP,0.15,51
P00608,Louga,rural,public,0.45,199
P00609,Thiès,urbain,public,0.15,72
P00610,Kolda,urbain,public,0.7,31
P00611,Kaolack,urbain,public,0.3,85
P00612,Thiès,urbain,CTP,0.15,49
P00613,Kaffrine,rural,CTP,0.55,52
P00614,Diourbel,urbain,prive,0.3,86
P00615,Thiès,urbain,public,0.15,59
P00616,Kolda,urbain,public,0.7,52
P00617,Kaolack,rural,CTP,0.3,40
P00618,Dakar,rural,public,0.05,35
P00619,Kaolack,rural,CTP,0.3,30
P00620,Kaolack,urbain,prive,0.3,61
P00621,Matam,rural,public,0.65,50
P00622,Dakar,urbain,CTP,0.05,48
P00623,Saint-Louis,rural,CTP,0.35,61
P00624,Tambacounda,rural,public,0.75,61
P00625,Thiès,urbain,public,0.15,66
P00626,Diourbel,rural,prive,0.3,142
P00627,Sédhiou,rural,CTP,0.7,51
P00628,Diourbel,urbain,public,0.3,46
P00629,Dakar,rural,public,0.05,87
P00630,Matam,urbain,CTP,0.65,29
