enseignant_id,ecole_id,ief_id,ia_id,region,milieu,genre,statut,corps,anciennete,attendance_prop
T000025,E00006,IEF024,IA05,Diourbel,urbain,H,fonctionnaire,instituteur,3,0.7352673084540507
T000026,E00006,IEF024,IA05,Diourbel,urbain,H,contractuel,instituteur adjoint,0,0.6327564862853735
T000027,E00007,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur,20,0.9012279628943258
T000028,E00007,IEF036,IA09,Fatick,urbain,H,fonctionnaire,vacataire,21,0.9308214870991257
T000029,E00007,IEF036,IA09,Fatick,urbain,F,contractuel,vacataire,13,0.9272222732114569
T000030,E00007,IEF036,IA09,Fatick,urbain,H,contractuel,instituteur,18,0.8938674575652115
T000031,E00007,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,10,0.9400359952323594
T000032,E00007,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur,13,0.7900970349604544
T000033,E00008,IEF053,IA15,Sédhiou,rural,H,contractuel,instituteur,11,0.5751783063746603
T000034,E00008,IEF053,IA15,Sédhiou,rural,H,contractuel,instituteur adjoint,0,0.7843876714868838
T000035,E00008,IEF053,IA15,Sédhiou,rural,H,contractuel,instituteur,0,0.5375607249043645
T000036,E00008,IEF053,IA15,Sédhiou,rural,H,fonctionnaire,instituteur,20,0.6757263826296701
T000037,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,instituteur adjoint,17,0.8896453509575014
T000038,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,vacataire,10,0.9349103533875951
T000039,E00009,IEF002,IA01,Dakar,urbain,F,fonctionnaire,instituteur adjoint,9,0.9036764260899737
T000040,E00009,IEF002,IA01,Dakar,urbain,H,contractuel,instituteur,0,0.9053372339721154
T000041,E00009,IEF002,IA01,Dakar,urbain,H,contractuel,instituteur adjoint,8,0.9114081667451824
T000042,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,vacataire,15,0.9341073886116659
T000043,E00009,IEF002,IA01,Dakar,urbain,F,fonctionnaire,instituteur adjoint,3,0.9281190746697471
T000044,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,instituteur,4,0.9071254679479352
T000045,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,instituteur,19,0.8728208620596032
T000046,E00009,IEF002,IA01,Dakar,urbain,H,fonctionnaire,instituteur adjoint,7,0.8272150795520881
T000047,E00010,IEF053,IA15,Sédhiou,urbain,F,contractuel,instituteur,3,0.7369083329588894
T000048,E00010,IEF053,IA15,Sédhiou,urbain,H,contractuel,instituteur,3,0.7015496312791446
T000049,E00010,IEF053,IA15,Sédhiou,urbain,H,fonctionnaire,instituteur,14,0.760328914639723
T000050,E00010,IEF053,IA15,Sédhiou,urbain,H,contractuel,instituteur adjoint,13,0.5336551387658324
T000051,E00010,IEF053,IA15,Sédhiou,urbain,H,contractuel,vacataire,11,0.6829220555547678
T000052,E00010,IEF053,IA15,Sédhiou,urbain,F,fonctionnaire,instituteur,10,0.7053637892939338
T000053,E00011,IEF007,IA02,Dakar,urbain,F,fonctionnaire,instituteur,8,0.7630446657489093
T000054,E00011,IEF007,IA02,Dakar,urbain,F,contractuel,instituteur,9,0.6739868149981059
T000055,E00011,IEF007,IA02,Dakar,urbain,H,contractuel,instituteur,9,0.840063272010141
T000056,E00011,IEF007,IA02,Dakar,urbain,H,fonctionnaire,instituteur,15,0.9304717951508638
T000057,E00011,IEF007,IA02,Dakar,urbain,H,fonctionnaire,instituteur,12,0.8892646389638394
T000058,E00012,IEF010,IA03,Dakar,urbain,H,fonctionnaire,instituteur,12,0.8324741584279315
T000059,E00012,IEF010,IA03,Dakar,urbain,F,fonctionnaire,instituteur,9,0.9063140291456803
T000060,E00012,IEF010,IA03,Dakar,urbain,F,fonctionnaire,instituteur,0,0.8873720921879663
T000061,E00012,IEF010,IA03,Dakar,urbain,H,fonctionnaire,instituteur,12,0.9513777656798786
T000062,E00012,IEF010,IA03,Dakar,urbain,H,fonctionnaire,vacataire,14,0.9065930972566671
T000063,E00012,IEF010,IA03,Dakar,urbain,H,fonctionnaire,instituteur,5,0.9243413039255998
T000064,E00013,IEF012,IA03,Dakar,urbain,H,contractuel,instituteur adjoint,0,0.8068552747054597
T000065,E00013,IEF012,IA03,Dakar,urbain,H,contractuel,instituteur,9,0.7391462017794826
T000066,E00013,IEF012,IA03,Dakar,urbain,F,contractuel,vacataire,11,0.8701930306521933
T000067,E00013,IEF012,IA03,Dakar,urbain,F,fonctionnaire,instituteur,15,0.8558227935837616
T000068,E00013,IEF012,IA03,Dakar,urbain,H,fonctionnaire,instituteur adjoint,3,0.9397920387288606
T000069,E00013,IEF012,IA03,Dakar,urbain,H,fonctionnaire,instituteur,18,0.9334135396096329
T000070,E00013,IEF012,IA03,Dakar,urbain,H,fonctionnaire,instituteur adjoint,18,0.8664310396989892
T000071,E00013,IEF012,IA03,Dakar,urbain,F,fonctionnaire,instituteur adjoint,18,0.8431525016407664
T000072,E00013,IEF012,IA03,Dakar,urbain,H,fonctionnaire,vacataire,4,0.8247035180020538
T000073,E00013,IEF012,IA03,Dakar,urbain,H,fonctionnaire,instituteur adjoint,7,0.9061224720773896
T000074,E00013,IEF012,IA03,Dakar,urbain,H,contractuel,instituteur adjoint,0,0.7682524992857397
T000075,E00014,IEF013,IA04,Thiès,urbain,F,contractuel,vacataire,0,0.8226253467882721
T000076,E00014,IEF013,IA04,Thiès,urbain,F,fonctionnaire,instituteur adjoint,26,0.8471575651176398
T000077,E00014,IEF013,IA04,Thiès,urbain,F,fonctionnaire,vacataire,20,0.8439255076954892
T000078,E00014,IEF013,IA04,Thiès,urbain,F,contractuel,instituteur,1,0.7449878750602761
T000079,E00014,IEF013,IA04,Thiès,urbain,H,contractuel,instituteur,5,0.8474459337089377
T000080,E00014,IEF013,IA04,Thiès,urbain,H,fonctionnaire,instituteur adjoint,14,0.8859992491746178
T000081,E00015,IEF031,IA07,Kaolack,rural,H,fonctionnaire,instituteur adjoint,6,0.8909873024297099
T000082,E00015,IEF031,IA07,Kaolack,rural,F,fonctionnaire,instituteur adjoint,3,0.8350639047086852
T000083,E00015,IEF031,IA07,Kaolack,rural,H,fonctionnaire,instituteur adjoint,27,0.6788611699806925
T000084,E00015,IEF031,IA07,Kaolack,rural,F,contractuel,instituteur adjoint,2,0.8641649918842105
T000085,E00016,IEF036,IA09,Fatick,urbain,H,contractuel,vacataire,10,0.7718861919104824
T000086,E00016,IEF036,IA09,Fatick,urbain,F,contractuel,instituteur,2,0.906277781854199
T000087,E00016,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur,6,0.8470106720165312
T000088,E00016,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,19,0.9693782291550104
T000089,E00016,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,14,0.9696735386434798
T000090,E00016,IEF036,IA09,Fatick,urbain,H,contractuel,instituteur,6,0.9384865916266921
T000091,E00016,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur,9,0.9196460999505214
T000092,E00016,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,14,0.9323928726758729
T000093,E00016,IEF036,IA09,Fatick,urbain,F,fonctionnaire,vacataire,13,0.9439636915923728
T000094,E00016,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,19,0.8632614582508893
T000095,E00016,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,8,0.8438314299038148
T000096,E00016,IEF036,IA09,Fatick,urbain,H,fonctionnaire,vacataire,2,0.9239901514198398
T000097,E00016,IEF036,IA09,Fatick,urbain,F,contractuel,instituteur adjoint,5,0.9248299002138367
T000098,E00016,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,9,0.78061720424139
T000099,E00017,IEF027,IA06,Saint-Louis,urbain,F,contractuel,instituteur,9,0.7807888084972271
T000100,E00017,IEF027,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,12,0.8342627022048522
T000101,E00017,IEF027,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,15,0.8830773015657503
T000102,E00017,IEF027,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,15,0.7250950324586962
T000103,E00017,IEF027,IA06,Saint-Louis,urbain,H,contractuel,instituteur,4,0.7621171553862464
T000104,E00018,IEF023,IA05,Diourbel,urbain,H,contractuel,instituteur adjoint,5,0.6167580871044894
T000105,E00018,IEF023,IA05,Diourbel,urbain,H,contractuel,instituteur adjoint,12,0.45117302147350424
T000106,E00018,IEF023,IA05,Diourbel,urbain,H,contractuel,instituteur,0,0.3384117561092908
T000107,E00018,IEF023,IA05,Diourbel,urbain,F,contractuel,instituteur adjoint,6,0.6349963548753712
T000108,E00018,IEF023,IA05,Diourbel,urbain,H,fonctionnaire,vacataire,18,0.6264829619578577
T000109,E00019,IEF041,IA10,Kaffrine,rural,H,contractuel,instituteur,3,0.46885047215474834
T000110,E00019,IEF041,IA10,Kaffrine,rural,H,fonctionnaire,instituteur adjoint,18,0.6284486983872472
T000111,E00020,IEF001,IA01,Dakar,rural,F,fonctionnaire,instituteur adjoint,12,0.8703513496636786
T000112,E00020,IEF001,IA01,Dakar,rural,F,contractuel,instituteur,7,0.8719080896567835
T000113,E00020,IEF001,IA01,Dakar,rural,F,fonctionnaire,instituteur,14,0.8177982973187999
T000114,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,3,0.7730964619016186
T000115,E00021,IEF025,IA06,Saint-Louis,urbain,F,contractuel,instituteur,0,0.5901688706808883
T000116,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,vacataire,15,0.8416430443457021
T000117,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,8,0.8162253372643744
T000118,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur adjoint,5,0.7632593838372729
T000119,E00021,IEF025,IA06,Saint-Louis,urbain,H,contractuel,vacataire,9,0.6232329617185732
T000120,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur,16,0.841584209002134
T000121,E00021,IEF025,IA06,Saint-Louis,urbain,H,fonctionnaire,instituteur adjoint,11,0.9006271497992981
T000122,E00022,IEF045,IA12,Kolda,urbain,H,fonctionnaire,instituteur adjoint,4,0.7711431146121934
T000123,E00022,IEF045,IA12,Kolda,urbain,F,contractuel,instituteur,0,0.8870361843077866
T000124,E00022,IEF045,IA12,Kolda,urbain,H,fonctionnaire,instituteur,7,0.8935934643965869
T000125,E00022,IEF045,IA12,Kolda,urbain,H,contractuel,instituteur adjoint,0,0.7763164523405434
T000126,E00022,IEF045,IA12,Kolda,urbain,F,contractuel,instituteur adjoint,12,0.6575028380288588
T000127,E00022,IEF045,IA12,Kolda,urbain,H,contractuel,vacataire,0,0.7602772578847407
T000128,E00023,IEF043,IA11,Ziguinchor,rural,H,fonctionnaire,instituteur,10,0.8353540154584267
T000129,E00023,IEF043,IA11,Ziguinchor,rural,H,contractuel,instituteur,5,0.8161707163194211
T000130,E00023,IEF043,IA11,Ziguinchor,rural,H,fonctionnaire,instituteur,11,0.8959440009364521
T000131,E00023,IEF043,IA11,Ziguinchor,rural,H,contractuel,vacataire,0,0.7541274853558884
T000132,E00024,IEF051,IA14,Matam,rural,F,fonctionnaire,instituteur adjoint,11,0.6199934723004009
T000133,E00024,IEF051,IA14,Matam,rural,F,fonctionnaire,instituteur,14,0.6312817515766028
T000134,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,vacataire,8,0.932249329748367
T000135,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,8,0.7509740407892137
T000136,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur,13,0.9092367186114938
T000137,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,vacataire,6,0.8030882630818954
T000138,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,12,0.9022226242048084
T000139,E00025,IEF036,IA09,Fatick,urbain,H,contractuel,instituteur,8,0.8649803468902953
T000140,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,6,0.9572178308597371
T000141,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur,18,0.9050208965616607
T000142,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur adjoint,14,0.8453431184013828
T000143,E00025,IEF036,IA09,Fatick,urbain,F,contractuel,instituteur,8,0.8560145647958342
T000144,E00025,IEF036,IA09,Fatick,urbain,F,contractuel,instituteur adjoint,4,0.8351970491746552
T000145,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,9,0.8493548456025591
T000146,E00025,IEF036,IA09,Fatick,urbain,H,contractuel,instituteur adjoint,9,0.8790061090631999
T000147,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,vacataire,9,0.8960856509801364
T000148,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur,14,0.9069754924909956
T000149,E00025,IEF036,IA09,Fatick,urbain,H,fonctionnaire,instituteur,0,0.9223828034539596
T000150,E00025,IEF036,IA09,Fatick,urbain,H,contractuel,instituteur adjoint,0,0.8628388438776717
T000151,E00025,IEF036,IA09,Fatick,urbain,F,fonctionnaire,instituteur adjoint,10,0.8970993488846051
T000152,E00026,IEF011,IA03,Dakar,urbain,F,fonctionnaire,instituteur adjoint,10,0.8740096006325
T000153,E00026,IEF011,IA03,Dakar,urbain,H,fonctionnaire,vacataire,7,0.8833959122254493
T000154,E00026,IEF011,IA03,Dakar,urbain,H,contractuel,instituteur adjoint,0,0.8423216647997053
T000155,E00026,IEF011,IA03,Dakar,urbain,F,contractuel,instituteur adjoint,0,0.7602021775510878
T000156,E00026,IEF011,IA03,Dakar,urbain,F,contractuel,instituteur adjoint,9,0.6835580488878557
T000157,E00026,IEF011,IA03,Dakar,urbain,F,fonctionnaire,instituteur,10,0.8661112639469581
T000158,E00026,IEF011,IA03,Dakar,urbain,H,contractuel,instituteur adjoint,8,0.8637689888364953
T000159,E00027,IEF034,IA08,Louga,urbain,H,contractuel,vacataire,12,0.8334666326467538
T000160,E00027,IEF034,IA08,Louga,urbain,H,fonctionnaire,instituteur,15,0.7950106723113733
T000161,E00027,IEF034,IA08,Louga,urbain,H,fonctionnaire,instituteur adjoint,0,0.8615404763879062
T000162,E00027,IEF034,IA08,Louga,urbain,H,contractuel,instituteur,2,0.741388410006428
T000163,E00028,IEF048,IA13,Tambacounda,rural,F,contractuel,instituteur,0,0.5559470418290661
T000164,E00028,IEF048,IA13,Tambacounda,rural,H,contractuel,instituteur,4,0.6495903204247833
T000165,E00029,IEF044,IA11,Ziguinchor,rural,H,fonctionnaire,vacataire,16,0.7259589327279291
T000166,E00029,IEF044,IA11,Ziguinchor,rural,H,fonctionnaire,vacataire,18,0.8480843811525156
T000167,E00029,IEF044,IA11,Ziguinchor,rural,F,contractuel,instituteur,3,0.7590072232193856
T000168,E00029,IEF044,IA11,Ziguinchor,rural,H,fonctionnaire,instituteur,10,0.7991843542905347
T000169,E00029,IEF044,IA11,Ziguinchor,rural,F,contractuel,instituteur adjoint,2,0.7629458530870525
T000170,E00030,IEF001,IA01,Dakar,urbain,H,contractuel,instituteur,10,0.8786067097538706
T000171,E00030,IEF001,IA01,Dakar,urbain,H,contractuel,instituteur adjoint,2,0.8753006405367987
T000172,E00030,IEF001,IA01,Dakar,urbain,F,contractuel,instituteur,0,0.9101856072323038
T000173,E00030,IEF001,IA01,Dakar,urbain,H,fonctionnaire,instituteur,9,0.9307888457016685
T000174,E00031,IEF022,IA05,Diourbel,rural,H,contractuel,instituteur,8,0.6423467528128713
T000175,E00031,IEF022,IA05,Diourbel,rural,F,contractuel,instituteur,9,0.39990420252530945
T000176,E00032,IEF041,IA10,Kaffrine,rural,H,contractuel,instituteur,8,0.2832931467329202
T000177,E00032,IEF041,IA10,Kaffrine,rural,F,contractuel,instituteur,1,0.34771636408338513
T000178,E00032,IEF041,IA10,Kaffrine,rural,H,contractuel,instituteur,13,0.6561647498876304
T000179,E00032,IEF041,IA10,Kaffrine,rural,H,contractuel,instituteur,0,0.4247991618834654
T000180,E00033,IEF024,IA05,Diourbel,urbain,H,fonctionnaire,instituteur,11,0.7879196007820665
T000181,E00033,IEF024,IA05,Diourbel,urbain,H,contractuel,instituteur,14,0.6986761154250655
T000182,E00033,IEF024,IA05,Diourbel,urbain,H,contractuel,instituteur,5,0.4777879158674313
T000183,E00034,IEF050,IA13,Tambacounda,rural,H,fonctionnaire,instituteur,13,0.6118508184694114
T000184,E00034,IEF050,IA13,Tambacounda,rural,F,fonctionnaire,instituteur,16,0.732975542197504
T000185,E00034,IEF050,IA13,Tambacounda,rural,H,contractuel,instituteur adjoint,16,0.4656754553050362
T000186,E00034,IEF050,IA13,Tambacounda,rural,F,contractuel,instituteur adjoint,7,0.6212996626531421
T000187,E00035,IEF039,IA10,Kaffrine,urbain,H,contractuel,instituteur adjoint,4,0.5472306978610137
T000188,E00035,IEF039,IA10,Kaffrine,urbain,H,contractuel,instituteur adjoint,0,0.448812143246848
T000189,E00035,IEF039,IA10,Kaffrine,urbain,H,fonctionnaire,instituteur adjoint,7,0.7502618200997531
T000190,E00035,IEF039,IA10,Kaffrine,urbain,H,fonctionnaire,instituteur adjoint,12,0.7061802154933399
T000191,E00035,IEF039,IA10,Kaffrine,urbain,H,fonctionnaire,instituteur,4,0.7008229642431327
T000192,E00035,IEF039,IA10,Kaffrine,urbain,H,contractuel,instituteur,6,0.6131955999952426
T000193,E00036,IEF012,IA03,Dakar,rural,H,contractuel,vacataire,3,0.8834368283016237
T000194,E00036,IEF012,IA03,Dakar,rural,H,fonctionnaire,instituteur adjoint,13,0.91432229776603
T000195,E00036,IEF012,IA03,Dakar,rural,H,contractuel,instituteur,7,0.8214661306388003
T000196,E00036,IEF012,IA03,Dakar,rural,H,fonctionnaire,instituteur adjoint,16,0.7990965714070148
T000197,E00036,IEF012,IA03,Dakar,rural,F,contractuel,instituteur adjoint,4,0.8367703363069584
T000198,E00037,IEF019,IA04,Thiès,urbain,H,contractuel,instituteur,7,0.8850221033680375
T000199,E00037,IEF019,IA04,Thiès,urbain,H,fonctionnaire,instituteur,12,0.8370292129276632
T000200,E00037,IEF019,IA04,Thiès,urbain,H,fonctionnaire,instituteur adjoint,0,0.8630079370175735
T000201,E00037,IEF019,IA04,Thiès,urbain,H,fonctionnaire,instituteur adjoint,23,0.907755983939351
T000202,E00037,IEF019,IA04,Thiès,urbain,F,contractuel,instituteur,11,0.8691183400123887
T000203,E00037,IEF019,IA04,Thiès,urbain,H,fonctionnaire,vacataire,21,0.8909011472679658
T000204,E00037,IEF019,IA04,Thiès,urbain,F,fonctionnaire,instituteur,12,0.9018267910623973
T000205,E00037,IEF019,IA04,Thiès,urbain,F,fonctionnaire,instituteur,0,0.8513466061282958
T000206,E00037,IEF019,IA04,Thiès,urbain,H,contractuel,instituteur adjoint,1,0.9142133280634955
T000207,E00037,IEF019,IA04,Thiès,urbain,F,fonctionnaire,vacataire,12,0.9638271466255077
T000208,E00037,IEF019,IA04,Thiès,urbain,F,contractuel,instituteur,4,0.9420321906804893
T000209,E00038,IEF021,IA05,Diourbel,urbain,H,contractuel,instituteur adjoint,12,0.5180969965020229
T000210,E00038,IEF021,IA05,Diourbel,urbain,F,fonctionnaire,instituteur,18,0.6643744984525268
T000211,E00039,IEF049,IA13,Tambacounda,rural,H,contractuel,instituteur,12,0.7140109898420501
T000212,E00039,IEF049,IA13,Tambacounda,rural,H,fonctionnaire,vacataire,23,0.6716629093649844
T000213,E00039,IEF049,IA13,Tambacounda,rural,H,contractuel,vacataire,0,0.40835099827737503
T000214,E00040,IEF005,IA02,Dakar,urbain,F,fonctionnaire,instituteur,4,0.819347495962798
T000215,E00040,IEF005,IA02,Dakar,urbain,H,fonctionnaire,instituteur,13,0.7637297514440969
T000216,E00040,IEF005,IA02,Dakar,urbain,F,contractuel,instituteur adjoint,0,0.7583276844903399
T000217,E00040,IEF005,IA02,Dakar,urbain,F,contractuel,vacataire,3,0.8569257746940485
T000218,E00040,IEF005,IA02,Dakar,urbain,F,fonctionnaire,instituteur adjoint,6,0.8824778553144798
T000219,E00040,IEF005,IA02,Dakar,urbain,F,fonctionnaire,instituteur,11,0.7529373729500821
T000220,E00040,IEF005,IA02,Dakar,urbain,F,fonctionnaire,instituteur,19,0.7417635875760695
T000221,E00041,IEF041,IA10,Kaffrine,urbain,F,fonctionnaire,instituteur,14,0.4477693531986444
T000222,E00041,IEF041,IA10,Kaffrine,urbain,F,contractuel,instituteur,0,0.5616977850373026
T000223,E00041,IEF041,IA10,Kaffrine,urbain,H,contractuel,instituteur adjoint,7,0.48902059732251535
T000224,E00041,IEF041,IA10,Kaffrine,urbain,F,contractuel,instituteur adjoint,1,0.40163446736236874
T000225,E00041,IEF041,IA10,Kaffrine,urbain,H,fonctionnaire,instituteur,12,0.608993748820493
T000226,E00041,IEF041,IA10,Kaffrine,urbain,H,contractuel,instituteur,6,0.438993695643411
T000227,E00042,IEF050,IA13,Tambacounda,urbain,F,contractuel,instituteur adjoint,2,0.5566266446709729
T000228,E00042,IEF050,IA13,Tambacounda,urbain,F,contractuel,instituteur,7,0.7664722980382599
T000229,E00043,IEF049,IA13,Tambacounda,urbain,F,contractuel,instituteur,1,0.6960554961351894
T000230,E00043,IEF049,IA13,Tambacounda,urbain,F,fonctionnaire,instituteur adjoint,16,0.5396814934583777
T000231,E00043,IEF049,IA13,Tambacounda,urbain,F,contractuel,instituteur,10,0.49773722796578795
T000232,E00043,IEF049,IA13,Tambacounda,urbain,F,contractuel,instituteur,12,0.7338687522337285
T000233,E00043,IEF049,IA13,Tambacounda,urbain,H,fonctionnaire,instituteur,7,0.526383269299909
T000234,E00043,IEF049,IA13,Tambacounda,urbain,F,fonctionnaire,instituteur,11,0.6270580609365708
T000235,E00043,IEF049,IA13,Tambacounda,urbain,H,fonctionnaire,vacataire,11,0.8196720405621614
T000236,E00044,IEF048,IA13,Tambacounda,rural,H,fonctionnaire,vacataire,17,0.7847056492629386
T000237,E00044,IEF048,IA13,Tambacounda,rural,H,contractuel,instituteur,10,0.4761322170810333
T000238,E00044,IEF048,IA13,Tambacounda,rural,F,fonctionnaire,instituteur adjoint,13,0.720722868545884
T000239,E00044,IEF048,IA13,Tambacounda,rural,F,contractuel,instituteur,0,0.4484045417392971
T000240,E00044,IEF048,IA13,Tambacounda,rural,F,fonctionnaire,instituteur,0,0.7396993873101422
T000241,E00045,IEF027,IA06,Saint-Louis,rural,H,fonctionnaire,instituteur,14,0.717184623123386
T000242,E00045,IEF027,IA06,Saint-Louis,rural,H,fonctionnaire,vacataire,7,0.883389204027234
T000243,E00045,IEF027,IA06,Saint-Louis,rural,H,fonctionnaire,instituteur adjoint,7,0.667479077159661
T000244,E00045,IEF027,IA06,Saint-Louis,rural,F,fonctionnaire,instituteur,9,0.8293729632231203
T000245,E00046,IEF042,IA11,Ziguinchor,rural,H,contractuel,instituteur,12,0.8045708335259146
T000246,E00046,IEF042,IA11,Ziguinchor,rural,H,contractuel,instituteur adjoint,5,0.7866520915214454
T000247,E00046,IEF042,IA11,Ziguinchor,rural,H,fonctionnaire,vacataire,12,0.906723677870614
T000248,E00046,IEF042,IA11,Ziguinchor,rural,F,contractuel,instituteur,6,0.8008752484355193
T000249,E00047,IEF034,IA08,Louga,rural,H,contractuel,vacataire,0,0.5999663573282877
T000250,E00047,IEF034,IA08,Louga,rural,F,contractuel,instituteur,0,0.6447852269085496
T000251,E00048,IEF029,IA07,Kaolack,rural,F,fonctionnaire,instituteur adjoint,13,0.8386447072033554
T000252,E00048,IEF029,IA07,Kaolack,rural,F,fonctionnaire,instituteur,10,0.8720973858993503
T000253,E00048,IEF029,IA07,Kaolack,rural,H,fonctionnaire,instituteur,11,0.7574483501297301
T000254,E00048,IEF029,IA07,Kaolack,rural,F,contractuel,instituteur,0,0.7404800668712797
T000255,E00048,IEF029,IA07,Kaolack,rural,H,fonctionnaire,instituteur adjoint,22,0.8356640817967067
T000256,E00048,IEF029,IA07,Kaolack,rural,H,fonctionnaire,instituteur,20,0.8524991219876616
T000257,E00048,IEF029,IA07,Kaolack,rural,H,fonctionnaire,instituteur,11,0.885669004852291
T000258,E00049,IEF022,IA05,Diourbel,rural,H,fonctionnaire,vacataire,15,0.506862657387713
T000259,E00049,IEF022,IA05,Diourbel,rural,F,fonctionnaire,instituteur adjoint,1,0.5416537099121356
T000260,E00049,IEF022,IA05,Diourbel,rural,H,contractuel,instituteur,14,0.5871139578919213
T000261,E00049,IEF022,IA05,Diourbel,rural,H,contractuel,instituteur adjoint,10,0.63788000481491125
T000262,E00049,IEF022,IA05,Diourbel,rural,H,fonctionnaire,instituteur,13,0.5289546011151947
T000263,E00050,IEF019,IA04,Thiès,rural,H,fonctionnaire,vacataire,12,0.9012037563216956
T000264,E00050,IEF019,IA04,Thiès,rural,H,fonctionnaire,instituteur,14,0.8974365033216354
