doc_id,date,phase,topic,max_prob
ECB_20190101_pol,2019-01-01,low_rate,0,0.6747647737562665
ECB_20190123_acc,2019-01-23,low_rate,0,0.7368383527395108
ECB_20190407_pre,2019-04-07,low_rate,0,1.0
ECB_20190331_pol,2019-03-31,low_rate,4,1.0
ECB_20190429_acc,2019-04-29,low_rate,0,0.8205419679870318
ECB_20190705_pre,2019-07-05,low_rate,0,0.4713139808759129
ECB_20190722_pol,2019-07-22,low_rate,0,1.0
ECB_20190720_acc,2019-07-20,low_rate,0,1.0
ECB_20191006_pre,2019-10-06,low_rate,0,0.824115800599273
ECB_20191030_pol,2019-10-30,low_rate,0,0.8524929506131679
ECB_20191006_acc,2019-10-06,low_rate,0,0.8380764207080101
ECB_20200114_pre,2020-01-14,covid,3,1.0
ECB_20200118_pol,2020-01-18,covid,3,0.4667265985531429
ECB_20200108_acc,2020-01-08,covid,3,0.4640690418213631
ECB_20200409_pre,2020-04-09,covid,3,0.4692865045768336
ECB_20200405_pol,2020-04-05,covid,3,0.4439454762172292
ECB_20200410_acc,2020-04-10,covid,3,0.45641769418006783
ECB_20200723_pre,2020-07-23,covid,3,0.45533727226880993
ECB_20200712_pol,2020-07-12,covid,3,1.0
ECB_20200713_acc,2020-07-13,covid,3,1.0
ECB_20201014_pre,2020-10-14,covid,3,0.44077748068021194
ECB_20201017_pol,2020-10-17,covid,3,1.0
ECB_20201012_acc,2020-10-12,covid,3,0.4741907302057967
ECB_20210104_pre,2021-01-04,covid,3,0.4669665872246567
ECB_20210104_pol,2021-01-04,covid,3,0.4464235895246712
ECB_20210107_acc,2021-01-07,covid,3,0.44022588600221535
ECB_20210609_pre,2021-06-09,inflation_surge,1,0.861315336320731
ECB_20210626_pol,2021-06-26,inflation_surge,1,0.5161918322813698
ECB_20210619_acc,2021-06-19,inflation_surge,1,0.5987294805265899
ECB_20210914_pre,2021-09-14,inflation_surge,1,0.8150644374234182
ECB_20210912_pol,2021-09-12,inflation_surge,1,1.0
ECB_20210906_acc,2021-09-06,inflation_surge,1,1.0
ECB_20211228_pre,2021-12-28,inflation_surge,1,0.42896295212690155
ECB_20211130_pol,2021-11-30,inflation_surge,1,0.4113504580429222
ECB_20211225_acc,2021-12-25,inflation_surge,1,0.4838999787052679
ECB_20220330_pre,2022-03-30,inflation_surge,1,0.33828293418958044
ECB_20220330_pol,2022-03-30,inflation_surge,1,0.7769890104176641
ECB_20220306_acc,2022-03-06,inflation_surge,1,0.674845229599447
ECB_20220603_pre,2022-06-03,inflation_surge,1,0.45274372545808633
ECB_20220601_pol,2022-06-01,inflation_surge,1,1.0
ECB_20220608_acc,2022-06-08,inflation_surge,1,1.0
ECB_20220906_pre,2022-09-06,inflation_surge,1,0.514044303452621
ECB_20220904_pol,2022-09-04,inflation_surge,1,0.6028404351506977
ECB_20220904_acc,2022-09-04,inflation_surge,1,1.0
ECB_20221130_pre,2022-11-30,inflation_surge,1,0.5052871724663504
ECB_20221203_pol,2022-12-03,inflation_surge,1,1.0
ECB_20221206_acc,2022-12-06,inflation_surge,1,0.3471821083870782
ECB_20230328_pre,2023-03-28,inflation_surge,1,0.3515700391557962
ECB_20230308_pol,2023-03-08,inflation_surge,1,0.5032921165008895
ECB_20230325_acc,2023-03-25,inflation_surge,1,0.682520091208794
ECB_20230610_pre,2023-06-10,inflation_surge,1,0.8679143847077428
ECB_20230614_pol,2023-06-14,inflation_surge,1,0.45317111042932684
ECB_20230531_acc,2023-05-31,inflation_surge,1,0.41162350183779944
ECB_20230928_pre,2023-09-28,normalisation,2,0.7142498179339404
ECB_20230904_pol,2023-09-04,normalisation,2,0.8060412272591807
ECB_20230930_acc,2023-09-30,normalisation,2,0.9307475309198194
ECB_20231213_pre,2023-12-13,normalisation,2,1.0
ECB_20231219_pol,2023-12-19,normalisation,2,1.0
ECB_20231230_acc,2023-12-30,normalisation,2,0.8295251421670475
ECB_20240318_pre,2024-03-18,normalisation,2,0.6152856841724915
ECB_20240308_pol,2024-03-08,normalisation,2,0.5484749763348794
ECB_20240319_acc,2024-03-19,normalisation,2,1.0
ECB_20240614_pre,2024-06-14,normalisation,2,1.0
ECB_20240625_pol,2024-06-25,normalisation,2,0.8440331715105476
ECB_20240630_acc,2024-06-30,normalisation,2,0.8746818072246281
ECB_20240903_pre,2024-09-03,normalisation,2,0.5087586188118619
ECB_20240925_pol,2024-09-25,normalisation,2,0.7654588295713941
ECB_20240925_acc,2024-09-25,normalisation,2,1.0
ECB_20241205_pre,2024-12-05,normalisation,2,0.8854823448086335
ECB_20241225_pol,2024-12-25,normalisation,2,1.0
ECB_20241205_acc,2024-12-05,normalisation,2,0.5523245838219452
